cell,n_queries,baseline_hr@1,baseline_hits,seed42_hr@1,seed137_hr@1,seed2026_hr@1,mean_hr@1,pooled_b,pooled_c,pooled_n_disc,pooled_mcnemar_p,bonferroni_sig_0.05/8
main_1s,1000,0.983,983,0.993,0.997,0.995,0.995,12,48,60,3.183628737933597e-06,True
main_3s,1000,0.998,998,1.0,1.0,1.0,1.0,0,6,6,0.03125,False
main_5s,1000,0.999,999,1.0,1.0,1.0,1.0,0,3,3,0.25,False
main_10s,1000,1.0,1000,1.0,1.0,1.0,1.0,0,0,0,1.0,False
ablation_1s,632,0.9794303797468354,619,0.9857594936708861,0.9968354430379747,0.990506329113924,0.9910337552742616,17,39,56,0.004561532746408219,True
ablation_3s,632,1.0,632,1.0,1.0,1.0,1.0,0,0,0,1.0,False
ablation_5s,632,1.0,632,1.0,1.0,1.0,1.0,0,0,0,1.0,False
ablation_10s,632,1.0,632,1.0,1.0,1.0,1.0,0,0,0,1.0,False
